Date,Liquidity,Token0 Price,Token1 Price,Tick,TVL USD,Volume Token 0,Volume Token 1,Volume USD,Fees USD,TX Count,Open,High,Low,Close,Target0,Target1
"2/15/2022, 8:00:00 AM",986900141546787700,0.07123735,14.037578901123268,256688,309825399.27121496,610.62381369,8705.97894469088,26800371.067842647,80401.11320352796,161,0.06886262,0.07123735,0.06874514,0.06886262,0.07135495,14.01444462813718
"2/16/2022, 8:00:00 AM",964910333127808300,0.07135495,14.01444462813718,256672,306876786.56176865,658.62040288,9276.28703765376,28931223.771341994,86793.67131402598,111,0.07126767,0.07158954,0.07040342,0.07126767,0.07107765,14.069118854467366
"2/17/2022, 8:00:00 AM",996658775638277000,0.07107765,14.069118854467366,256711,283255606.2900355,726.61558998,10264.89414091738,31162323.35540338,93486.97006621014,159,0.0713451,0.0713451,0.07041845,0.0713451,0.06956282,14.375494171381543
"2/18/2022, 8:00:00 AM",968480921174578300,0.06956282,14.375494171381543,256926,272185904.91836345,715.83762919,10163.399528960996,28742400.984800152,86227.20295440045,127,0.071104,0.07164543,0.06937873,0.071104,0.06868373,14.559487720848557
"2/19/2022, 8:00:00 AM",806313523899622100,0.06868373,14.559487720848557,257053,274768268.4079304,648.3583557,9377.619422204467,25927774.317622103,77783.3229528663,125,0.06956254,0.07012166,0.06834395,0.06956254,0.06841167,14.617389049754252
"2/20/2022, 8:00:00 AM",804345847409792400,0.06841167,14.617389049754252,257093,264478115.39578232,978.46268446,14275.486349949497,37754674.93763882,113264.02481291644,154,0.06868373,0.06927178,0.06770499,0.06868373,0.06945489,14.397832727600983
"2/21/2022, 8:00:00 AM",968217068997073500,0.06945489,14.397832727600983,256942,256283378.11277127,1053.43705256,15120.743648773998,40302489.49017996,120907.46847053988,177,0.06841167,0.07015852,0.06841167,0.06841167,0.06903605,14.485183999117886
"2/22/2022, 8:00:00 AM",937116718502874000,0.06903605,14.485183999117886,257002,262991512.9962828,880.04530196,12748.373107454869,32896977.898721833,98690.93369616548,149,0.06945489,0.0697253,0.06836747,0.06945489,0.06949456,14.389613708194911
"2/23/2022, 8:00:00 AM",982553019227703900,0.06949456,14.389613708194911,256936,257784726.0351036,707.24420318,10125.27244621228,27020451.20922932,81061.35362768795,135,0.06903605,0.07043475,0.06890524,0.06903605,0.0677453,14.761171309452113
"2/24/2022, 8:00:00 AM",837217531684824800,0.0677453,14.761171309452113,257191,268906353.6764009,2353.63626778,34416.145881248616,85705208.85585642,257115.62656756924,352,0.06940954,0.0698905,0.06693549,0.06940954,0.07057521,14.169279282423277
"2/25/2022, 8:00:00 AM",1302384196314980900,0.07057521,14.169279282423277,256782,280850654.00418234,1728.3265747,24870.257940147327,67628625.63913858,202885.8769174157,226,0.0678073,0.07136882,0.06761728,0.0678073,0.07126723,14.031692745969037
"2/26/2022, 8:00:00 AM",1030906092168963800,0.07126723,14.031692745969037,256684,282123950.61367756,679.91693971,9545.063626492672,26708856.852996074,80126.57055898821,158,0.07064201,0.07187139,0.07064201,0.07064201,0.0694457,14.39973826328696
"2/27/2022, 8:00:00 AM",1021210599669875600,0.0694457,14.39973826328696,256943,269829948.630744,1294.61761225,18392.671953709625,50120137.54627202,150360.41263881608,310,0.07126723,0.07134622,0.06918253,0.07126723,0.06751722,14.811035736023584
"2/28/2022, 8:00:00 AM",856065221805907500,0.06751722,14.811035736023584,257225,304801551.8475868,1301.83689347,19092.518775737684,53231097.14123876,159693.29142371626,216,0.06936004,0.06973407,0.0667524,0.06936004,0.06712513,14.89754989819276
"3/1/2022, 8:00:00 AM",854473425474874400,0.06712513,14.89754989819276,257283,310900882.84811187,1042.34363965,15504.560712734445,45754017.46379741,137262.05239139224,218,0.06775139,0.06802794,0.06610798,0.06775139,0.06732611,14.853078074961083
"3/2/2022, 8:00:00 AM",910282779501567700,0.06732611,14.853078074961083,257253,312950195.6952824,836.65358148,12400.03188364744,37083186.26509007,111249.5587952702,189,0.0670841,0.06821572,0.06661876,0.0670841,0.06667848,14.997340605603465
"3/3/2022, 8:00:00 AM",907737631145682200,0.06667848,14.997340605603465,257350,302017364.8875851,448.71920991,6727.23851429098,19447903.38160753,58343.710144822595,127,0.06731701,0.06731701,0.06616526,0.06731701,0.06687202,14.953937031858144
"3/4/2022, 8:00:00 AM",935789281464285300,0.06687202,14.953937031858144,257321,276444519.037332,899.21191038,13642.956296128765,36741286.91155904,110223.86073467712,244,0.06630902,0.06687202,0.06517921,0.06630902,0.06746396,14.822726857800507
"3/5/2022, 8:00:00 AM",973315828624739700,0.06746396,14.822726857800507,257232,288680078.7415904,858.03945514,12751.332935851684,33728621.48715896,101185.86446147689,216,0.0668792,0.06775725,0.0666751,0.0668792,0.06657485,15.02068552109328
"3/6/2022, 8:00:00 AM",923419901785042400,0.06657485,15.02068552109328,257365,279443570.2541636,676.81738957,10052.28146543148,26179151.54594145,78537.45463782434,159,0.06746396,0.06785682,0.06657485,0.06746396,0.06548981,15.269550244281376
"3/7/2022, 8:00:00 AM",913884252595963500,0.06548981,15.269550244281376,257529,277046408.54417187,678.61828249,10225.602329039,26008596.566970017,78025.78970091004,187,0.06657485,0.06714582,0.06548657,0.06657485,0.06650841,15.035691024768918
"3/8/2022, 8:00:00 AM",950585673725861900,0.06650841,15.035691024768918,257375,280110563.1451911,366.53333435,5535.301813385005,14181629.83848782,42544.88951546346,162,0.06551514,0.06657113,0.06551514,0.06551514,0.06491678,15.404336931079994
"3/9/2022, 8:00:00 AM",908692043555094300,0.06491678,15.404336931079994,257617,297409814.25674707,772.31697503,11836.420905009794,31981601.38459334,95944.80415378002,211,0.06650841,0.06666391,0.06429087,0.06650841,0.0661788,15.110576989816478
"3/10/2022, 8:00:00 AM",963587289769039200,0.0661788,15.110576989816478,257425,285113943.04223967,448.10731816,6805.80380569729,17845690.558976624,53537.07167692988,154,0.06491678,0.06636421,0.06489412,0.06491678,0.06616875,15.11287370751504
"3/11/2022, 8:00:00 AM",1005263706098361100,0.06616875,15.11287370751504,257426,282500703.86776596,423.27165839,6386.8213086800215,16545392.48185738,49636.177445572146,150,0.0661788,0.06661217,0.0659616,0.0661788,0.06619929,15.105899951348253
"3/12/2022, 8:00:00 AM",1088995398653744600,0.06619929,15.105899951348253,257422,284315979.0661855,81.91766474,1238.3736474584503,3202756.419909212,9608.269259727636,78,0.06616562,0.06623625,0.06604144,0.06616562,0.06640593,15.05889393207123
"3/13/2022, 8:00:00 AM",1196619596056291300,0.06640593,15.05889393207123,257391,275580744.1328608,284.68485798,4301.688762519945,11021472.975252867,33064.4189257586,103,0.06619929,0.06640593,0.06595904,0.06619929,0.06521438,15.334039840482196
"3/14/2022, 8:00:00 AM",1083765607056254000,0.06521438,15.334039840482196,257572,287078897.0730346,500.53978569,7603.217335684239,19459651.99784169,58378.95599352506,133,0.06641757,0.06671294,0.06511851,0.06641757,0.06645059,15.048774021170969
"3/15/2022, 8:00:00 AM",1091873385931716500,0.06645059,15.048774021170969,257384,277607896.2429247,529.12705693,8000.138728502837,20770728.1098122,62312.1843294366,186,0.06521438,0.06677596,0.06521438,0.06521438,0.06726596,14.866360131357688
"3/16/2022, 8:00:00 AM",1187049994302314000,0.06726596,14.866360131357688,257262,303219804.3065909,1106.63675013,16643.75248483761,44605244.84650572,133815.73453951717,194,0.06648413,0.06726596,0.06570334,0.06648413,0.06893174,14.507103879494442
"3/17/2022, 8:00:00 AM",1221897398065234200,0.06893174,14.507103879494442,257017,306252620.7673088,676.16878659,9883.592128460692,27661948.76855869,82985.84630567608,171,0.06726596,0.06903553,0.06719473,0.06726596,0.07046791,14.190855670813592
"3/18/2022, 8:00:00 AM",1216134053710652700,0.07046791,14.190855670813592,256797,316045467.4713656,924.32434384,13246.92442257404,37800819.06034936,113402.45718104808,219,0.06892688,0.07070899,0.06853255,0.06892688,0.06987637,14.31098798496248
"3/19/2022, 8:00:00 AM",1239307242478981600,0.06987637,14.31098798496248,256881,312943708.7394872,501.9532781,7125.694176077479,21020967.71181721,63062.90313545162,176,0.07046791,0.07086375,0.06986839,0.07046791,0.06942337,14.404370477939768
"3/20/2022, 8:00:00 AM",1264557221678053600,0.06942337,14.404370477939768,256946,306983489.59418243,418.07361086,6024.445569965955,17344249.27116725,52032.74781350175,132,0.06987465,0.06987465,0.06905134,0.06987465,0.07074853,14.134569042819043
